Ticker,Price,50 Day Average,200 Day Average
STLD,154.32,124.9396,128.4931
STE,227.52,233.097,226.17896
SYK,369.02,360.817,345.27045
SMCI,22.7,42.67654,71.85913
SYF,67.51,51.8234,45.8479
SNPS,553.15,505.6094,549.11176
SYY,77.01,76.1362,76.14365
TMUS,232.19,210.5062,181.0477
TROW,121.31,108.8214,112.31355
TTWO,166.62,156.002,152.8905
TPR,49.76,44.8262,42.9394
TRGP,186.04,157.1266,126.5257
TGT,147.29,152.5812,153.60425
TEL,154.74,147.8574,146.8405
TDY,480.74,442.4516,416.58414
TFX,201.92,237.2306,225.83975
TER,109.0,125.2614,123.3985
TSLA,288.53,237.0616,203.2598
TXN,214.97,203.5656,188.2376
TXT,87.91,86.653,88.3469
TMO,559.68,596.3052,578.8656
TJX,115.63,116.1092,106.4155
TSCO,288.95,282.8682,265.7238
TT,391.86,379.6826,328.4345
TDG,1382.6,1368.566,1271.7664
TRV,253.95,240.523,221.6895
TRMB,72.64,59.811,57.9731
TFC,47.0,42.8118,39.5978
TYL,603.2,589.5684,504.44794
TSN,59.16,60.5376,58.54325
USB,51.26,46.3784,42.92915
UBER,74.36,75.4258,72.16775
UDR,43.27,44.6234,40.1524
ULTA,387.53,377.4208,420.06885
UNP,248.49,243.8122,240.7323
UAL,87.58,60.6194,50.09135
UPS,133.92,131.8032,139.6574
URI,880.32,786.1784,703.82684
UNH,596.69,581.0558,528.5679
UHS,203.52,225.5584,192.7946
VLO,138.71,136.0882,149.6543
VTR,63.22,63.8934,52.302
VLTO,102.99,109.5014,98.1449
VRSN,186.58,183.7712,183.49065
VRSK,279.13,269.5972,255.63445
VZ,41.16,43.1406,41.1907
VRTX,493.64,474.6822,451.47446
VTRS,11.61,11.5916,11.5336
VICI,31.11,32.8796,30.3516
V,307.4,282.53,275.56204
VST,126.09,110.834,82.7931
VMC,290.45,249.6294,253.80925
WRB,60.67,58.3594,55.554283
GWW,1194.96,1045.386,973.8305
WAB,200.4,180.2456,159.96056
WBA,9.23,9.1868,14.8933
WMT,83.44,80.1936,67.76828
DIS,98.89,93.523,101.2177
WBD,8.38,7.8428,8.2035
WM,218.48,209.7046,207.21545
WAT,386.69,344.8546,329.13184
WEC,96.01,95.719,85.2668
WFC,72.47,59.0774,57.41655
WELL,133.67,128.266,106.65025
WST,329.38,302.6298,336.81854
WDC,69.91,65.9044,67.2968
WY,31.42,32.1916,31.75695
WMB,55.33,48.3786,41.821
WTW,317.31,293.205,272.4842
WYNN,85.32,90.548,92.5755
XEL,66.49,63.9084,57.57655
XYL,123.73,131.9318,131.8506
YUM,134.37,134.247,135.0508
ZBRA,394.02,361.5126,316.30975
ZBH,110.17,106.6126,115.2115
ZTS,170.37,188.434,179.1471
